concept_id,retailer,cb_product_id,retailer_item_id,title,level_of_truth,match_type,match_confidence,evidence,caveats,human_review_needed,review_status,reviewer,valid_from
CG-0001,walmart,1741,540323682,Avant Grub Cast Aluminum 4.5 Burger Press,retailer,rule_attribute,0.68,walmart title ~* 'cast alumin',multi-token material rule; title-only cross-retailer,true,,,2026-07-05
CG-0001,walmart,2772,247845956,Cast Aluminum 10cm Hamburger Gorditas Meat Press,retailer,rule_attribute,0.68,walmart title ~* 'cast alumin',multi-token material rule; title-only cross-retailer,true,,,2026-07-05
CG-0001,walmart,2773,803996967,Cast Aluminum 12cm Hamburger Gorditas Meat Press,retailer,rule_attribute,0.68,walmart title ~* 'cast alumin',multi-token material rule; title-only cross-retailer,true,,,2026-07-05
CG-0003,walmart,99,9796074999,TACYKIBD Charcuterie Board Accessories Spreader Knife,retailer,rule_attribute,0.50,walmart title ~* 'charcuterie',single token; catches cutting boards - review; title-only cross-retailer,true,,,2026-07-05
CG-0003,walmart,915,1368706292,4 Pack Cheese Knives Set with Wood Handle Casewin,retailer,rule_attribute,0.50,walmart title ~* 'charcuterie',single token; catches cutting boards - review; title-only cross-retailer,true,,,2026-07-05
CG-0003,walmart,1842,15287958709,Bamboo Cutting Board Set 3 Piece Reversible,retailer,rule_attribute,0.50,walmart title ~* 'charcuterie',single token; catches cutting boards - review; title-only cross-retailer,true,,,2026-07-05
CG-0008,walmart,34105,15087660791,Air Fryer Silicone Liners For 2 To 3 QT Small,retailer,rule_attribute,0.72,"walmart title ~* 'air fryer.{0,20}liner'",strong proximity pair; title-only cross-retailer,true,,,2026-07-05
CG-0008,walmart,48252,15378761937,Reusable Air Fryer Silicone Liners for 2 to 3 QT,retailer,rule_attribute,0.72,"walmart title ~* 'air fryer.{0,20}liner'",strong proximity pair; title-only cross-retailer,true,,,2026-07-05
CG-0008,walmart,51274,14124807326,Air Fryer Liner for 6-9 qt 8.1x5.5 Rectangle,retailer,rule_attribute,0.72,"walmart title ~* 'air fryer.{0,20}liner'",strong proximity pair; title-only cross-retailer,true,,,2026-07-05
CG-0010,walmart,32329,5572923302,LMLTLULU Gold Electric Candle Warmer Lamp with Timer,retailer,rule_attribute,0.72,walmart title ~* 'candle warmer|warmer lamp',strong pair in Candles; title-only cross-retailer,true,,,2026-07-05
CG-0010,walmart,53790,12190955251,MEHOOM Vintage Metal Candle Warmer Lamp Dimmer,retailer,rule_attribute,0.72,walmart title ~* 'candle warmer|warmer lamp',strong pair in Candles; title-only cross-retailer,true,,,2026-07-05
CG-0013,walmart,1922,8633111579,Bdday Bento Box Glass Meal Prep Containers,retailer,rule_attribute,0.68,"walmart title ~* 'glass.{0,40}(meal prep|divided)|(meal prep|divided).{0,40}glass'",material+function proximity; title-only cross-retailer,true,,,2026-07-05
CG-0013,walmart,4745,5808036819,Ello Colorlock 3.4 Cup 10pc Glass Meal Prep Set,retailer,rule_attribute,0.68,"walmart title ~* 'glass.{0,40}(meal prep|divided)|(meal prep|divided).{0,40}glass'",material+function proximity; title-only cross-retailer,true,,,2026-07-05
CG-0013,walmart,4750,5129928089,Ello Color Lock 8pc 3.4 Cup Divided Glass Meal Prep,retailer,rule_attribute,0.68,"walmart title ~* 'glass.{0,40}(meal prep|divided)|(meal prep|divided).{0,40}glass'",material+function proximity; title-only cross-retailer,true,,,2026-07-05
