concept_id,level_hint,cb_hashtag_id,hashtag,followed,followed_since
CG-0001,concept,43763,ceramiccookware,true,2025-02-20
CAT-KITCHEN,category,143115,amazonkitchenware,true,2023-04-08
CAT-KITCHEN,category,681731,artisanalkitchenware,true,2023-11-15
CAT-KITCHEN,category,4222,cookware,true,2023-04-07
CAT-KITCHEN,category,18000,cookwarecollection,true,2023-04-08
CAT-KITCHEN,category,7751,cookwareset,true,2023-04-08
CAT-KITCHEN,category,44509,cookwaresets,true,2023-04-08
CAT-KITCHEN,category,136344,enamelcookware,true,2023-04-08
CAT-KITCHEN,category,3870,kitchengadgets,true,2023-04-08
CAT-KITCHEN,category,118603,kitchengadgetsmakemehappy,true,2023-04-08
CAT-HOME,category,3903,amazonfinds,true,2023-04-08
CAT-HOME,category,4858,amazonhomefinds,true,2023-04-08
CAT-HOME,category,118192,amazonhomefinds2023,true,2023-04-08
CAT-HOME,category,4565,homefinds,true,2023-04-08
CAT-HOME,category,324,homedecor,true,2024-08-05
CAT-HOME,category,5571,diyhomedecor,true,2024-08-05
CAT-HOME,category,6493,homedecoration,true,2024-08-05
CAT-HOME,category,6886,homedecorideas,true,2024-08-05
CAT-HOME,category,28022,homedecortrends,true,2023-11-14
CAT-HOME,category,36943,modernhomedecor,true,2025-02-20
