concept_id,cb_product_id,walmart_id,title
CG-0001,1741,540323682,Avant Grub Cast Aluminum 4.5 Burger Press
CG-0001,2772,247845956,Cast Aluminum 10cm Hamburger Gorditas Meat Press
CG-0001,2773,803996967,Cast Aluminum 12cm Hamburger Gorditas Meat Press
CG-0003,99,9796074999,TACYKIBD Charcuterie Board Accessories Spreader Knife
CG-0003,915,1368706292,4 Pack Cheese Knives Set with Wood Handle Casewin
CG-0003,1842,15287958709,Bamboo Cutting Board Set 3 Piece Reversible
CG-0008,34105,15087660791,Air Fryer Silicone Liners For 2 To 3 QT Small
CG-0008,48252,15378761937,Reusable Air Fryer Silicone Liners for 2 to 3 QT
CG-0008,51274,14124807326,Air Fryer Liner for 6-9 qt 8.1x5.5 Rectangle
CG-0010,32329,5572923302,LMLTLULU Gold Electric Candle Warmer Lamp with Timer
CG-0010,53790,12190955251,MEHOOM Vintage Metal Candle Warmer Lamp Dimmer
CG-0013,1922,8633111579,Bdday Bento Box Glass Meal Prep Containers
CG-0013,4745,5808036819,Ello Colorlock 3.4 Cup 10pc Glass Meal Prep Set
CG-0013,4750,5129928089,Ello Color Lock 8pc 3.4 Cup Divided Glass Meal Prep
